City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,iskateley,53.1512,67.6803,284.7,63,29,4.83,RU,1687538998
1,badr hunayn,38.7905,23.7829,305.98,33,0,0.98,SA,1687538999
2,port-aux-francais,70.2167,-49.35,277.74,58,100,3.41,TF,1687538999
3,horsham,-0.3272,51.064,300.84,48,0,5.66,GB,1687538999
4,mahalapye,26.8142,-23.1041,287.73,63,0,2.31,BW,1687538999
5,alofi,-169.9187,-19.0595,293.09,100,100,1.54,NU,1687539000
6,ribeira grande,-28.7,38.5167,296.37,83,40,3.58,PT,1687539000
7,bilibino,166.4372,68.0546,281.53,91,99,1.95,RU,1687539000
8,bikenibeu village,173.1241,1.3673,302.13,79,20,2.57,KI,1687539001
9,nili,66.1302,33.7218,301.26,16,16,3.86,AF,1687539001
10,nova sintra,-24.7167,14.8667,294.83,85,23,4.83,CV,1687539001
11,hengchun,120.7439,22.0042,301.19,75,100,1.71,TW,1687539002
12,port mathurin,63.4167,-19.6833,296.21,56,100,3.78,MU,1687539002
13,grytviken,-36.5092,-54.2811,275.34,93,52,6.24,GS,1687539002
14,puerto ayora,-90.3518,-0.7393,301.13,86,62,3.13,EC,1687539002
15,crane,-102.3501,31.3974,310.84,21,47,5.77,US,1687539003
16,adamstown,-130.1015,-25.066,292.71,51,59,6.16,PN,1687539003
17,olonkinbyen,-8.7187,70.9221,277.31,89,3,5.46,SJ,1687539003
18,dausa,76.3333,26.8833,307.19,48,33,5.15,IN,1687539004
19,college,-147.8028,64.8569,290.33,94,75,1.54,US,1687539004
20,hermanus,19.2345,-34.4187,288.83,80,26,3.77,ZA,1687539004
21,ariquemes,-63.0408,-9.9133,306.81,32,32,1.22,BR,1687539004
22,edinburgh of the seven seas,-12.3116,-37.0676,285.48,59,87,5.49,SH,1687539005
23,vilyuchinsk,158.4028,52.9306,285.3,83,34,4.91,RU,1687539005
24,ushuaia,-68.3,-54.8,272.96,74,75,3.09,AR,1687539005
25,la passe,-0.8967,45.5549,302.28,59,5,4.28,FR,1687539005
26,aykhal,111.5,66.0,284.53,93,61,3.87,RU,1687539006
27,livingstone,25.8543,-17.8419,289.9,40,0,2.22,ZM,1687539006
28,hirara,125.2833,24.8,300.3,94,100,4.12,JP,1687539006
29,smithers,-127.1743,54.7804,290.33,51,20,2.06,CA,1687539007
30,yellowknife,-114.3525,62.456,290.44,67,75,3.09,CA,1687538941
31,boquete,-82.4333,8.7833,294.93,71,81,0.97,PA,1687539007
32,tofol,163.0078,5.3248,301.87,77,36,7.29,FM,1687539007
33,blackmans bay,147.3167,-43.0167,282.44,96,100,1.51,AU,1687539007
34,stanley,-1.6985,54.868,294.1,68,75,4.12,GB,1687539008
35,kodiak,-152.4072,57.79,282.88,93,100,2.06,US,1687539008
36,west island,96.8225,-12.1568,299.14,73,100,8.23,CC,1687539008
37,uturoa,-151.4333,-16.7333,299.93,79,41,3.98,PF,1687539008
38,georgetown,100.3354,5.4112,301.11,81,20,2.06,MY,1687538940
39,margaret river,115.0667,-33.95,286.1,68,92,7.43,AU,1687539009
40,mtama,39.3667,-10.3,293.31,48,13,0.95,TZ,1687539009
41,weno,151.8468,7.4515,298.12,100,75,0.0,FM,1687539009
42,tiksi,128.8694,71.6872,280.59,71,98,2.96,RU,1687539009
43,colesberg,25.0972,-30.72,286.4,23,1,3.06,ZA,1687539010
44,xining,101.7667,36.6167,284.75,80,79,1.76,CN,1687539010
45,waitangi,-176.5597,-43.9535,284.16,75,100,1.79,NZ,1687539010
46,ust-nera,143.2,64.5667,291.01,46,35,1.88,RU,1687539010
47,broken hill,141.4333,-31.95,280.54,74,6,6.3,AU,1687539010
48,port elizabeth,25.5701,-33.918,289.87,81,0,1.34,ZA,1687538754
49,vallenar,-70.7581,-28.5708,303.03,14,50,3.36,CL,1687539011
50,albany,-73.9662,42.6001,301.44,62,55,0.89,US,1687538950
51,thompson,-97.8558,55.7435,289.24,59,75,3.6,CA,1687539011
52,alice town,-79.3,25.7167,302.06,77,97,4.35,BS,1687539012
53,avarua,-159.775,-21.2078,296.18,94,20,1.03,CK,1687539012
54,atafu village,-172.5159,-8.5421,301.34,70,33,2.44,TK,1687539012
55,camayenne,-13.6878,9.535,302.2,74,40,7.2,GN,1687539012
56,isafjordur,-23.124,66.0755,291.17,59,75,3.09,IS,1687539012
57,geraldton,114.6,-28.7667,285.38,87,100,2.57,AU,1687539013
58,ghat,10.1728,24.9647,309.17,10,0,3.71,LY,1687539013
59,aktau,51.2,43.65,295.47,37,7,6.58,KZ,1687539013
60,pionerskiy,20.2275,54.9508,293.06,76,99,4.57,RU,1687539013
61,remire-montjoly,-52.2667,4.9167,300.17,78,100,1.03,GF,1687539013
62,qamdo,97.2333,31.1667,276.59,68,25,1.74,CN,1687539014
63,port augusta,137.7667,-32.5,283.5,57,21,7.2,AU,1687539014
64,kununurra,128.7333,-15.7667,292.14,88,75,0.0,AU,1687539015
65,longyearbyen,15.6401,78.2186,281.06,93,75,5.66,SJ,1687539015
66,iqaluit,-68.5145,63.7506,279.0,56,75,3.6,CA,1687539015
67,klyuchi,79.1667,52.2667,288.74,48,97,5.45,RU,1687539015
68,el sauzal de rodriguez,-116.6833,31.9,292.27,64,0,4.09,MX,1687539016
69,benito juarez,-99.165,19.385,297.04,26,0,2.68,MX,1687539016
70,wailua homesteads,-159.378,22.0669,298.59,85,100,7.2,US,1687539016
71,invercargill,168.35,-46.4,277.83,92,42,1.88,NZ,1687539017
72,percut,98.864,3.6253,298.13,90,100,1.72,ID,1687539017
73,aasiaat,-52.8699,68.7098,274.61,81,100,0.94,GL,1687539017
74,vorgashor,63.95,67.5833,277.73,68,73,3.05,RU,1687538887
75,okhotsk,143.3,59.3833,283.05,91,30,0.88,RU,1687539018
76,cidreira,-50.2056,-30.1811,290.35,97,100,1.7,BR,1687539018
77,fort frances,-93.4003,48.5999,295.4,58,0,4.63,CA,1687538755
78,labrador city,-66.9114,52.9463,298.1,53,75,3.09,CA,1687539018
79,bethel,-73.414,41.3712,299.01,68,100,4.12,US,1687538969
80,tazovsky,78.7,67.4667,279.02,85,100,3.96,RU,1687539019
81,bredasdorp,20.0403,-34.5322,286.85,84,0,3.54,ZA,1687539019
82,bamako,-8.0,12.65,302.38,61,0,2.06,ML,1687539019
83,laascaanood,47.3597,8.4774,301.28,44,67,9.88,SO,1687539019
84,katpur,71.7833,21.05,302.58,76,100,7.18,IN,1687539020
85,mokhsogollokh,128.9203,61.4681,288.11,94,42,1.32,RU,1687539020
86,aioun,-9.6149,16.6614,318.01,6,8,7.02,MR,1687539020
87,winnemucca,-117.7357,40.973,291.18,36,0,6.69,US,1687538850
88,ambalangoda,80.0538,6.2355,299.87,86,69,4.99,LK,1687539021
89,chibougamau,-74.3659,49.9168,297.94,53,100,3.09,CA,1687539021
90,utrik,169.8474,11.2278,300.87,79,17,8.1,MH,1687539021
91,vadso,29.7487,70.0744,296.64,37,0,5.14,NO,1687539021
92,east london,27.9116,-33.0153,290.67,72,0,5.66,ZA,1687539021
93,mugia,-9.2179,43.1041,301.99,79,1,7.68,ES,1687539022
94,enewetak,162.3373,11.3474,301.58,78,93,8.36,MH,1687539022
95,shizunai-furukawacho,142.3669,42.3339,287.59,88,94,2.0,JP,1687539022
96,muravlenko,74.523,63.7898,276.14,97,100,5.83,RU,1687539022
97,port alfred,26.891,-33.5906,289.36,81,0,6.31,ZA,1687539023
98,puerto natales,-72.4875,-51.7236,275.4,100,100,1.54,CL,1687538881
99,cartagena,-75.5144,10.3997,304.94,70,20,2.57,CO,1687538926
100,bidur,101.2833,4.1167,297.11,95,95,1.05,MY,1687539023
101,charters towers,146.2667,-20.1,289.81,95,79,2.76,AU,1687539024
102,khadan khak,67.7085,30.7477,302.14,38,97,2.81,PK,1687539024
103,ilulissat,-51.1,69.2167,277.16,75,75,3.09,GL,1687539024
104,punta arenas,-70.9167,-53.15,275.21,80,100,7.72,CL,1687538825
105,bonthe,-12.505,7.5264,300.81,72,68,5.01,SL,1687539024
106,cockburn town,-71.1419,21.4612,301.54,79,40,8.34,TC,1687538900
107,freetown,-13.2299,8.484,299.99,83,75,7.2,SL,1687539025
108,lorengau,147.2712,-2.0226,299.61,80,79,1.46,PG,1687539025
109,fort bragg,-79.006,35.139,300.07,76,100,4.12,US,1687538990
110,tara,74.371,56.8944,281.6,71,90,1.05,RU,1687539025
111,malvan,73.4667,16.0667,301.9,72,99,2.61,IN,1687538828
112,la sarre,-79.1996,48.8002,298.76,49,98,2.48,CA,1687539026
113,burnie,145.9167,-41.0667,281.37,88,25,1.31,AU,1687539026
114,sierra grande,-65.3557,-41.606,288.93,31,91,6.17,AR,1687539026
115,gazli,63.45,40.1333,304.99,19,0,6.63,UZ,1687539026
116,kone,164.8658,-21.0595,288.82,88,68,0.93,NC,1687539027
117,naifaru,73.3657,5.4444,301.41,78,95,6.99,MV,1687539027
118,haiku-pauwela,-156.3051,20.9219,297.62,80,20,7.72,US,1687539027
119,plano,-96.6989,33.0198,306.79,66,40,3.58,US,1687538953
120,papatowai,169.4708,-46.5619,281.1,96,76,3.33,NZ,1687539028
121,tsiombe,45.4833,-25.3,288.71,75,55,2.83,MG,1687539028
122,kijang,129.2139,35.2442,293.0,83,100,1.99,KR,1687539028
123,nuuk,-51.7216,64.1835,282.49,66,20,2.06,GL,1687539028
124,kamaishi,141.8833,39.2667,289.87,98,100,2.57,JP,1687539029
125,whitehorse,-135.0538,60.7161,287.58,72,75,0.0,CA,1687539029
126,longboat key,-82.659,27.4125,306.17,70,0,4.12,US,1687538789
127,ma'rib,45.3253,15.4591,305.77,15,4,3.12,YE,1687539029
128,essaouira,-9.77,31.5125,300.87,61,0,8.23,MA,1687539029
129,mili,171.735,6.0815,301.43,80,5,8.47,MH,1687539030
130,hammerfest,23.6821,70.6634,289.4,72,0,4.63,NO,1687539030
131,fale old settlement,-171.2468,-9.3852,301.28,71,5,3.53,TK,1687539030
132,caluula,50.7569,11.9661,302.87,74,40,3.47,SO,1687539030
133,anadyr,177.4833,64.75,278.43,93,75,3.0,RU,1687539031
134,sharlyk,54.75,52.9167,283.61,74,97,1.33,RU,1687539031
135,new norfolk,147.0587,-42.7826,283.1,90,100,0.98,AU,1687539031
136,mayqayyng,75.7986,51.4625,287.94,70,95,1.95,KZ,1687539031
137,hamilton,-84.5333,39.1834,295.33,90,100,3.09,US,1687538545
138,hotan,79.9269,37.0997,304.25,14,0,3.99,CN,1687539032
139,lana,11.1559,46.6124,302.83,59,52,2.6,IT,1687539032
140,udachny,112.4,66.4167,285.07,93,52,3.43,RU,1687539032
141,tostado,-61.7692,-29.232,295.77,60,45,3.19,AR,1687539032
142,vilyuysk,121.6247,63.7553,290.95,69,1,3.49,RU,1687539033
143,arraial do cabo,-42.0278,-22.9661,299.13,50,0,3.6,BR,1687539023
144,kuta,115.1723,-8.7233,298.15,88,20,2.68,ID,1687539033
145,kingston,-76.7936,17.997,305.68,69,20,8.75,JM,1687538829
146,namsos,11.4957,64.4662,285.1,66,75,7.2,NO,1687539033
147,laminusa,120.9136,5.5549,300.96,75,85,0.35,PH,1687539034
148,edson,-116.4356,53.5835,289.23,72,0,1.54,CA,1687538891
149,corner brook,-57.9484,48.9667,296.24,47,37,3.75,CA,1687539034
150,ulladulla,150.4667,-35.35,286.11,61,55,4.58,AU,1687538994
151,constantia,28.65,44.1833,299.53,68,26,5.7,RO,1687538780
152,ketchikan,-131.6461,55.3422,286.14,76,77,1.41,US,1687539035
153,praia da vitoria,-27.0667,38.7333,297.29,73,40,7.76,PT,1687539035
154,labin,14.1197,45.095,302.11,66,19,0.53,HR,1687539035
155,saipan,145.701,15.1355,301.54,100,40,6.17,MP,1687539035
156,dunay,132.3375,42.8803,287.24,93,53,2.52,RU,1687539035
157,hwange,26.5019,-18.3693,291.6,41,0,0.77,ZW,1687539036
158,lompoc,-120.4579,34.6391,293.03,69,75,4.12,US,1687538774
159,thunder bay,-89.3168,48.4001,298.14,69,75,3.09,CA,1687538947
160,cozumel,-86.9458,20.5083,304.79,83,87,5.36,MX,1687539026
161,vredendal,18.5012,-31.6683,287.95,86,35,2.33,ZA,1687539036
162,pisco,-76.2167,-13.7,295.18,64,100,2.06,PE,1687538872
163,galle,80.217,6.0367,299.99,85,47,5.44,LK,1687539037
164,changyon,125.0961,38.2508,292.89,82,0,1.13,KP,1687539037
165,akureyri,-18.0878,65.6835,294.11,46,75,8.75,IS,1687539038
166,lubang,120.124,13.8584,301.99,71,29,1.73,PH,1687539039
167,carnarvon,113.6333,-24.8667,289.95,69,69,7.61,AU,1687539039
168,olyokminsk,120.4264,60.3736,287.99,83,3,0.68,RU,1687539039
169,qaqortoq,-46.0333,60.7167,277.57,89,100,2.48,GL,1687539040
170,nha trang,109.1833,12.25,301.15,87,99,1.93,VN,1687539040
171,ventspils,21.5606,57.3894,293.11,77,0,3.6,LV,1687539040
172,ust-tsilma,52.1498,65.441,287.09,58,99,1.98,RU,1687539040
173,lyubokhna,34.3885,53.5033,293.46,68,79,2.06,RU,1687539040
174,afaahiti,-149.2833,-17.75,297.08,89,87,8.09,PF,1687539041
175,manggar,108.2667,-2.8833,300.18,71,5,2.81,ID,1687539041
176,palera,79.2333,25.0167,303.78,66,77,3.33,IN,1687539041
177,lantana,-80.052,26.5867,307.62,72,75,5.14,US,1687539041
178,chonchi,-73.8092,-42.6128,285.99,88,83,1.78,CL,1687539042
179,polyarnyy,33.4478,69.1989,291.57,48,59,0.56,RU,1687539042
180,rongelap,166.8941,11.1635,301.22,79,48,8.76,MH,1687539042
181,huarmey,-78.1522,-10.0681,296.07,69,96,3.8,PE,1687539042
182,general toshevo,28.0333,43.7,297.11,61,5,2.68,BG,1687539042
183,gaspe,-64.4819,48.8334,298.27,65,100,2.57,CA,1687538900
184,aswan,32.907,24.0934,309.76,15,0,6.17,EG,1687539043
185,tailai,123.4,46.3833,295.29,71,93,3.89,CN,1687539043
186,timaru,171.25,-44.4,284.3,97,100,1.34,NZ,1687539043
187,chadan,91.5833,51.2833,283.37,83,24,0.6,RU,1687539043
188,nadym,72.5167,65.5333,276.78,85,99,6.25,RU,1687539044
189,manokwari,134.0833,-0.8667,298.99,80,99,2.04,ID,1687538960
190,acarau,-40.12,-2.8856,303.28,59,9,7.74,BR,1687539044
191,jumla,82.1838,29.2747,291.83,95,97,0.73,NP,1687539044
192,egilsstadir,-14.3948,65.2653,290.1,63,75,4.63,IS,1687539045
193,howard springs,131.047,-12.497,297.1,89,79,1.28,AU,1687539045
194,turan,108.2208,16.0678,303.14,79,40,2.06,VN,1687539045
195,rikaze,88.8833,29.25,291.69,20,54,1.21,CN,1687539045
196,vilhena,-60.1458,-12.7406,303.27,45,0,5.14,BR,1687538826
197,gorontalo,123.0595,0.5412,297.18,95,91,1.07,ID,1687539046
198,sinabang,96.3801,2.4803,298.56,89,100,2.61,ID,1687539046
199,rabo de peixe,-25.5833,37.8,293.88,94,75,3.09,PT,1687539046
200,conde,-34.9075,-7.2597,299.85,89,75,5.66,BR,1687539046
201,soio,12.3689,-6.1349,296.63,80,33,4.34,AO,1687539047
202,sao felix do xingu,-51.995,-6.6447,306.99,36,10,2.5,BR,1687539002
203,minas de marcona,-75.1103,-15.2119,291.65,60,27,5.06,PE,1687539047
204,alesund,6.1549,62.4723,289.21,72,20,2.06,NO,1687538830
205,kupang,123.5833,-10.1667,299.47,78,40,3.6,ID,1687539047
206,plastun,136.2939,44.7561,285.37,93,31,1.74,RU,1687539048
207,banjarmasin,114.591,-3.3244,297.1,93,20,1.53,ID,1687539048
208,port blair,92.75,11.6667,301.17,83,40,3.09,IN,1687539048
